Data,Fechamento
2021-06-29,127565
2021-06-29,127585
2021-06-29,127620
2021-06-29,127570
2021-06-29,127570
2021-06-29,127620
2021-06-29,127625
2021-06-29,127615
2021-06-29,127635
2021-06-29,127615
2021-06-29,127620
2021-06-29,127530
2021-06-29,127550
2021-06-29,127590
2021-06-29,127595
2021-06-29,127590
2021-06-29,127570
2021-06-29,127585
2021-06-29,127615
2021-06-29,127655
2021-06-29,127595
2021-06-29,127585
2021-06-29,127615
2021-06-29,127610
2021-06-29,127565
2021-06-29,127645
2021-06-29,127585
2021-06-29,127540
2021-06-29,127530
2021-06-29,127590
2021-06-29,127565
2021-06-29,127525
2021-06-29,127415
2021-06-29,127435
2021-06-29,127450
2021-06-29,127440
2021-06-29,127470
2021-06-29,127500
2021-06-29,127520
2021-06-29,127540
2021-06-29,127575
2021-06-29,127610
2021-06-29,127660
2021-06-29,127730
2021-06-29,127670
2021-06-29,127630
2021-06-29,127610
2021-06-29,127495
2021-06-29,127480
2021-06-29,127465
2021-06-29,127410
2021-06-29,127425
2021-06-29,127380
2021-06-29,127390
2021-06-29,127410
2021-06-29,127450
2021-06-29,127400
2021-06-29,127365
2021-06-29,127425
2021-06-29,127500
2021-06-29,127525
2021-06-29,127455
2021-06-29,127420
2021-06-29,127520
2021-06-29,127460
2021-06-29,127510
2021-06-29,127495
2021-06-29,127390
2021-06-29,127385
2021-06-29,127350
2021-06-29,127420
2021-06-29,127425
2021-06-29,127365
2021-06-29,127415
2021-06-29,127335
2021-06-29,127315
2021-06-29,127300
2021-06-29,127350
2021-06-29,127405
2021-06-29,127355
2021-06-29,127320
2021-06-29,127330
2021-06-29,127345
2021-06-29,127250
2021-06-29,127225
